窗口名,地点,餐品,价格
北方烤饼,二食堂,太阳饼,3.5元
,,鸡蛋盒,3.5元
,,红豆饼,3元
,,葱油饼,3元
,,菜饺盒,3元
,,鲜肉饼,4元
,,千层饼,2.5元
,,土豆丝鸡蛋饼,3.5元
,,酱香饼,2.5元
,,香酥饼,2.5元
,,南瓜饼,2.5元
,,鸡蛋煎饼,2.5元
,,韭菜饼,2元
,,酸菜饼,2元
,,卤鸡蛋,2元
,,原味豆浆,2元
,,鸡柳卷饼,5元
,,培根卷饼,5元
,,烤肠卷饼,5元
,,鸡柳夹饼,5元
,,鸡排夹饼,6.5元
,,青椒炒肉夹饼,6元
,,煎包,6元
,,煎饺,6元
,,手抓饼（原味）,3.5元
,,手抓饼 加鸡蛋,5.5元
,,手抓饼 加鸡柳,5.5元
,,手抓饼 加培根,5.5元
,,手抓饼 加烤肠,5.5元
,,手抓饼 豪华套餐,11.5元
朝阳洲牛肉粉面,一食堂一楼,招牌肉酱拌面/粉,10元
,,蟹黄肉酱拌面/粉,11元
,,现炖黄牛肉拌面/粉,12元
,,葱油拌面,6元
,,南昌拌粉,7元
,,麻酱拌面,7元
,,烤肉酱拌粉/面,7元
,,黑鸭酱拌粉/面,7元
,,招牌酱拌粉/面,7元
,,辣椒炒肉拌粉/面,8元
,,牛肉汤粉面,12元
,,木耳肉丝粉面,7元
,,西红柿鸡蛋拌粉/面,8元
,,大盘鸡拌粉/面,10元
,,椒麻鸡丝拌粉/面,11元
,,土豆泥拌面/粉,8元
,,西红柿鸡蛋汤粉/面,7元
,,辣椒炒肉汤粉/面,7元
,,重庆小面汤粉/面,9元
,,老坛酸菜汤粉/面,9元
,,冒烤肉片汤粉/面,10元
,,大盘鸡汤粉/面,10元
,,卤干子,2元
,,荷包蛋,1.5元
,,卤蛋,1.5元
,,热狗,2元
,,淀粉肠,2.5元
,,大肉肠,3元
,,米粉,12元
,,圆粉,12元
,,米线,12元
,,面,12元
,,挂面,12元
黄焖鸡,二食堂,招牌黄焖鸡,13元
,,砂锅红烧肉,14元
,,黄焖茄子煲,11元
,,砂锅泡面,10元
,,黄焖炸肉丸,12元
,,黄焖肉片,13元
,,猪油蛋炒饭,8元
,,火腿蛋炒饭,10元
,,老干妈蛋炒饭,10元
,,外婆菜肉沫炒饭,11元
,,酸豆角肉沫炒饭,11元
,,蛋肉炒饭,12元
兰州拉面,一食堂周边,牛肉拉面,9元
,,招牌牛肉面,19元
,,牛肉刀削面,10元
,,麻辣牛肉面,13元
,,酸菜牛肉面,12元
,,鸡蛋拉面,10元
,,红烧牛肉面,15元
,,油泼面,13元
,,西红柿鸡蛋汤面,13元
,,辣皮子拌面,16元
,,干煸炒面,16元
,,鸡蛋炒拉面,13元
,,鸡肉炒拉面,13元
,,牛肉炒拉面,14元
,,牛肉炒刀削面,14元
,,鸡蛋炒刀削面,13元
,,鸡肉炒刀削面,13元
,,葱油拌面,13元
,,牛肉凉面,13元
,,鸡蛋凉面,13元
,,蛋炒饭,10元
,,牛肉炒饭,11元
,,兰州炒饭,13元
,,酸菜牛肉炒饭,13元
,,大盘鸡拌面/饭,15元
,,土豆烧牛肉拌面/饭,15元
,,番茄炒蛋拌面/饭,13元
,,酸辣白菜拌面/饭,12元
,,洋葱牛肉拌面/饭,13元
,,青椒牛肉拌面/饭,14元
,,青椒炒蛋拌面/饭,13元
,,青椒鸡肉拌面/饭,13元
,,土豆丝牛肉拌面/饭,13元
,,青菜牛肉拌面/饭,14元
,,青菜鸡蛋拌面/饭,13元
,,青菜鸡肉拌面/饭,13元
,,蘑菇牛肉拌面/饭,14元
,,茄子牛肉拌面/饭,14元
,,葱爆牛肉拌面/饭,14元
,,孜然牛肉拌面/饭,16元
,,红烧牛肉拌面/饭,16元
,,红烧鸡块拌面/饭,15元
,,新疆大盘鸡,80元
,,新疆小盘鸡,65元
,,红烧牛肉,40元
,,孜然牛肉,40元
,,葱爆牛肉,40元
,,土豆烧牛肉,40元
,,红烧鸡块,40元
,,青椒牛肉,28元
,,酸辣白菜,15元
,,青椒土豆丝,15元
,,番茄炒蛋,18元
,,炒青菜,15元
,,凉拌黄瓜,12元
,,凉拌土豆丝,12元
,,凉拌西红柿,12元
,,凉拌牛肉,45元
,,牛肉（凉菜）,10元/份
,,煎鸡蛋,2元/个
,,烤饼,3元/个
,,肉夹馍,10元/个
,,葱花饼,5元/个
,,豆干,2元/个
,,丸子,3元/个
,,鸡腿,5元/个
,,烤肠,3元/根
,,烤肉串,4元/串
,,牛肉饺子,14元
平江特色粉面,一食堂一楼,拌粉、拌面、拌米线、拌圆粉,7元
,,馄饨、水饺,7元
,,黄豆肉沫粉(面),6元
,,榨菜肉丝粉(面),6元
,,辣椒炒肉粉(面),7元
,,木耳炒肉粉(面),7元
,,脆皮豆腐粉(面),7元
,,西红柿鸡蛋粉(面),7元
,,香干炒肉粉(面),7元
,,武汉热干面,7元
,,酸辣粉,7元
,,桂林卤粉,7元
,,麻辣牛肉粉(面),11元
,,红烧牛肉粉(面),11元
,,鱿鱼肉丝粉(面),10元
,,红烧肉粉(面),9元
,,老北京炸酱面,9元
,,拌山西刀削面,8元
,,麻辣鸡丁粉(面),8元
,,三鲜米粉(面),8元
